nombre,numero,descripcion,url,idioma,topico
Para que serve o Photoshop,1,"Entenda para que serve o Photoshop, veja onde conseguir o programa, entenda por que o Photoshop pode ser importante para você e veja quais os tipos de tarefas que o Photoshop pode ajudar você a executar.",https://edu.gcfglobal.org//pt/curso-de-photoshop/,Portugues,curso-de-photoshop
Como criar um documento no Photoshop,2,Como criar um documento no Photoshop. Veja como criar um documento no Photoshop para impressão ou para visualização em telas. Entenda os modos de cor RGB e CMYK e muito mais.,https://edu.gcfglobal.org//pt/curso-de-photoshop/,Portugues,curso-de-photoshop
 Como funciona a interface do Photoshop,3, Como funciona a interface do Photoshop. Entenda para que servem as barras e menus do Photoshop e comece a usar esse programa.,https://edu.gcfglobal.org//pt/curso-de-photoshop/,Portugues,curso-de-photoshop
Como personalizar a área de trabalho do Photoshop ,4,​Como personalizar a área de trabalho do Photoshop. Veja como salvar suas configurações da área de trabalho do Photoshop.,https://edu.gcfglobal.org//pt/curso-de-photoshop/,Portugues,curso-de-photoshop
"Como abrir, editar e salvar uma imagem no Photoshop",5,"Veja passo a passo como abrir uma ou várias imagens no Photoshop, conheça os atalhos para abrir e salvar no Photoshop e aprenda a salvar uma imagem em jpg ou psd.",https://edu.gcfglobal.org//pt/curso-de-photoshop/,Portugues,curso-de-photoshop
"Como usar as ferramentas zoom, mover e mão do Photoshop ",6,"Veja como mover elementos no Photoshop, entenda para que serve a ferramenta de mão do Photoshop e veja ainda como usar a lupa para visualizar elementos muito pequenos na sua imagem.",https://edu.gcfglobal.org//pt/curso-de-photoshop/,Portugues,curso-de-photoshop
Como funcionam as camadas do Photoshop,7,"Entenda o que são e como utilizar as camadas do Photoshop.  Veja como mover as camadas, deixá-las transparentes, bloqueá-las e veja como editar camadas individualmente ou em bloco.",https://edu.gcfglobal.org//pt/curso-de-photoshop/,Portugues,curso-de-photoshop
