nombre,numero,descripcion,url,idioma,topico
Fundamentos do design,1,"Nos fundamentos do design gráfico você pode encontrar a linha, o tamanho, a forma, a textura e o equilíbrio",https://edu.gcfglobal.org//pt/conceitos-basicos-de-design-grafico/,Portugues,conceitos-basicos-de-design-grafico
Layout e composição,2,O design gráfico deve comunicar de forma clara e precisa as informações ilustradas. Algumas das ferramentas que ajudam você a conseguir isso são layout e composição.,https://edu.gcfglobal.org//pt/conceitos-basicos-de-design-grafico/,Portugues,conceitos-basicos-de-design-grafico
Teoria das cores,3,Vejamos o que é a teoria das cores e o círculo cromático ou roda de cores no design.,https://edu.gcfglobal.org//pt/conceitos-basicos-de-design-grafico/,Portugues,conceitos-basicos-de-design-grafico
Como combinar as cores?,4,"Ao escolher uma paleta de cores para o seu projeto, é importante considerar várias coisas para obter a melhor combinação. Veja detalhadamente quais são estes pontos.",https://edu.gcfglobal.org//pt/conceitos-basicos-de-design-grafico/,Portugues,conceitos-basicos-de-design-grafico
Imagens,5,Entenda como as imagens funcionam no design gráfico e como escolher as mais adequadas para seus trabalhos.,https://edu.gcfglobal.org//pt/conceitos-basicos-de-design-grafico/,Portugues,conceitos-basicos-de-design-grafico
O que é tipografia e como escolher um tipo de letra?,6,Escolher a tipografia correta é essencial para criar um bom design. Aprenda conosco como selecionar o tipo de letra mais adequado para seu projeto.,https://edu.gcfglobal.org//pt/conceitos-basicos-de-design-grafico/,Portugues,conceitos-basicos-de-design-grafico
O que é branding ou identidade de marca?,7,"Branding ou identidade de marca é o que permite que as pessoas reconheçam sua empresa, produto ou serviço.",https://edu.gcfglobal.org//pt/conceitos-basicos-de-design-grafico/,Portugues,conceitos-basicos-de-design-grafico
Teste,8,Teste seus conhecimentos em conceitos básicos de design gráfico.,https://edu.gcfglobal.org//pt/conceitos-basicos-de-design-grafico/,Portugues,conceitos-basicos-de-design-grafico
