nombre,numero,descripcion,url,idioma,topico
O que é algoritmo?,1,Veja o que é um algoritmo e quais são suas funções na tecnologia que usamos diariamente.,https://edu.gcfglobal.org//pt/informatica-avancada/,Portugues,informatica-avancada
Código Binário,2,Veja como funciona o código binário e como ele é operado nos computadores.,https://edu.gcfglobal.org//pt/informatica-avancada/,Portugues,informatica-avancada
O que são linguagens de programação?,3,Aqui você encontrará o que são linguagens de programação e quais são as mais usadas no mundo digital.,https://edu.gcfglobal.org//pt/informatica-avancada/,Portugues,informatica-avancada
Será que você deveria aprender a programar?,4,"Programar é uma ferramenta útil para o atual mercado de trabalho, mas não necessariamente é uma opção de trabalho para todos. Vejamos porque.",https://edu.gcfglobal.org//pt/informatica-avancada/,Portugues,informatica-avancada
Diferenças entre software de código aberto e código fechado,5,Vejamos quais são as principais características e diferenças dos softwares de código livre e código fechado.,https://edu.gcfglobal.org//pt/informatica-avancada/,Portugues,informatica-avancada
"Estruturas sequenciais, condicionais e de repetição",6,"Quando programamos, geralmente o código é dividido em três estruturas que executam instruções básicas ou algoritmos para todos os tipos de software.",https://edu.gcfglobal.org//pt/informatica-avancada/,Portugues,informatica-avancada
