nombre,numero,descripcion,url,idioma,topico
O que é um conjunto?,1,"Veja o que é um conjunto, como ele pode ser representado e definido.",https://edu.gcfglobal.org//pt/os-conjuntos-matematicos/,Portugues,os-conjuntos-matematicos
Descrever e definir conjuntos,2,"Nesta página você aprenderá as formas de descrever, definir e notar conjuntos",https://edu.gcfglobal.org//pt/os-conjuntos-matematicos/,Portugues,os-conjuntos-matematicos
Tipos de conjuntos,3,Conheça os diferentes tipos de conjuntos,https://edu.gcfglobal.org//pt/os-conjuntos-matematicos/,Portugues,os-conjuntos-matematicos
Conjuntos Equipotentes,4,O que são conjuntos Equipotentes e como se forma um subconjunto?,https://edu.gcfglobal.org//pt/os-conjuntos-matematicos/,Portugues,os-conjuntos-matematicos
Relações entre conjuntos e elementos,5,Nesta lição você aprenderá o conceito de pertence e também como representá-lo.,https://edu.gcfglobal.org//pt/os-conjuntos-matematicos/,Portugues,os-conjuntos-matematicos
Relação de contido ou não contido,6,Nesta página você encontrará informações sobre a relação de contido ou não contido entre conjuntos.,https://edu.gcfglobal.org//pt/os-conjuntos-matematicos/,Portugues,os-conjuntos-matematicos
Relação de igualdade,7,Nesta lição você aprenderá a reconhecer quando dois conjuntos são iguais.,https://edu.gcfglobal.org//pt/os-conjuntos-matematicos/,Portugues,os-conjuntos-matematicos
Operações entre conjuntos,8,Veja como simbolizamos a relação entre dois ou mais conjuntos.,https://edu.gcfglobal.org//pt/os-conjuntos-matematicos/,Portugues,os-conjuntos-matematicos
Situações que resolvemos com os conjuntos,9,Nesta página você aprenderá como usar o conceito de um conjuntos para resolver coisas do dia a dia.,https://edu.gcfglobal.org//pt/os-conjuntos-matematicos/,Portugues,os-conjuntos-matematicos
