nombre,numero,descripcion,url,idioma,topico
O que é um vírus?,1,Nesta página você verá o que é um vírus e o que eles provocam nos seus computadores.,https://edu.gcfglobal.org//pt/virus-e-antivirus/,Portugues,virus-e-antivirus
O que são antívirus?,2,"Veja o que são, sua importância e para que servem os antivírus.",https://edu.gcfglobal.org//pt/virus-e-antivirus/,Portugues,virus-e-antivirus
Proteja seu computador contra vírus,3,É melhor se precaver antes de perder toda a informação. Proteja seu computador de vírus.,https://edu.gcfglobal.org//pt/virus-e-antivirus/,Portugues,virus-e-antivirus
