nombre,numero,descripcion,url,idioma,topico
Como usar bem seu cartão de crédito?,1,Quer saber como usar bem seu cartão de crédito? Veja algumas dicas aqui.,https://edu.gcfglobal.org//pt/seguranca-financiera/,Portugues,seguranca-financiera
Saiba como fazer transações seguras na Internet,2,"Fazer transações seguras pela internet como compras ou pagar boletos, pode ser muito útil! Mas para não passar por apuros, é importante ter alguns cuidados.",https://edu.gcfglobal.org//pt/seguranca-financiera/,Portugues,seguranca-financiera
Cuidado com empréstimos fáceis,3,"Evite cair em golpes de oferta de dinheiro, empréstimos fáceis ou de negócios que prometem resultados maravilhosos. Cuidado nunca é demais!",https://edu.gcfglobal.org//pt/seguranca-financiera/,Portugues,seguranca-financiera
Para que ter um cartão de crédito?,4,"Você sabe para que ter um cartão de crédito? Muitos têm, mas poucos sabem como usá-lo.",https://edu.gcfglobal.org//pt/seguranca-financiera/,Portugues,seguranca-financiera
