nombre,numero,descripcion,url,idioma,topico
A diferença entre estudo e leitura,1,Você sabe a diferença entre estudo e leitura? Sabia que para cada um destes dois hábitos podemos direcionar nossa atenção de forma diferente?,https://edu.gcfglobal.org//pt/sobre-a-leitura/,Portugues,sobre-a-leitura
A Importância da leitura,2,"Algumas pessoas ainda não têm consciência do quanto é importante ler, mas por que? Veja mais sobre a importância da leitura nas nossas vidas.",https://edu.gcfglobal.org//pt/sobre-a-leitura/,Portugues,sobre-a-leitura
A Torre de Babel - Nossos muitos idiomas,3,"São mais de 6000 línguas em todo o mundo, e este número sempre está mudando. Conheça um pouco mais dos nossos muitos idiomas.",https://edu.gcfglobal.org//pt/sobre-a-leitura/,Portugues,sobre-a-leitura
Para que a leitura não seja uma tortura,4,Quem disse que a leitura é uma coisa tediosa e chata? Isso não é verdade! Veja alguns elementos que você deve considerar para que a leitura não seja uma tortura.,https://edu.gcfglobal.org//pt/sobre-a-leitura/,Portugues,sobre-a-leitura
Bibliotecas virtuais,5,"Atualmente, várias bibliotecas virtuais possuem plataformas onde podemos ter acesso a muitos livros digitais.",https://edu.gcfglobal.org//pt/sobre-a-leitura/,Portugues,sobre-a-leitura
Vamos ler um pouco de ficção cientifica?,6,"A ficção cientifica é um gênero da literatura que aborda temas relacionados à tecnologia. É uma área super interessante e por isso, nesta página, indicamos três títulos para você se aventurar neste mundo.",https://edu.gcfglobal.org//pt/sobre-a-leitura/,Portugues,sobre-a-leitura
