nombre,numero,descripcion,url,idioma,topico
O que é Pensamento Crítico,1,"O que é pensamento crítico, como usá-lo para resolver problemas, o que diferencia o pensamento do dia-a-dia do pensamento crítico e como se tornar um pensador.",https://edu.gcfglobal.org//pt/pensamento-critico-e-tomada-de-decisoes/,Portugues,pensamento-critico-e-tomada-de-decisoes
Como exercitar o pensamento crítico,2,​Como exercitar o pensamento crítico. Veja exemplos de desafios mentais que ajudam a desenvolver a capacidade de solução de problemas.,https://edu.gcfglobal.org//pt/pensamento-critico-e-tomada-de-decisoes/,Portugues,pensamento-critico-e-tomada-de-decisoes
Como usar o pensamento crítico para avaliar dietas da moda,3,Como usar o pensamento crítico para avaliar dietas da moda. Veja que perguntas fazer para identificar se uma nova tendência de saúde é realmente eficaz.,https://edu.gcfglobal.org//pt/pensamento-critico-e-tomada-de-decisoes/,Portugues,pensamento-critico-e-tomada-de-decisoes
Como o pensamento crítico pode virar o jogo,4,"Confira um estudo de caso sobre solução de problemas. Veja como o pensamento crítico serve para encontrar novas formas de abordagem para resolver problemas.
",https://edu.gcfglobal.org//pt/pensamento-critico-e-tomada-de-decisoes/,Portugues,pensamento-critico-e-tomada-de-decisoes
O que são falácias lógicas e como identificá-las,5,"Entenda o que são as falácias loógicas e aprenda a identificá-las. Desenvolva seu pensamento crítico e sua habilidade de solucionar problemas.
",https://edu.gcfglobal.org//pt/pensamento-critico-e-tomada-de-decisoes/,Portugues,pensamento-critico-e-tomada-de-decisoes
Por que é tão difícil tomar decisões?,6,Entenda quais são os fatores que dificultam a tomada de decisões. Veja como o estresse afeta a tomada de decisão e o que fazer para tomar decisões melhores.,https://edu.gcfglobal.org//pt/pensamento-critico-e-tomada-de-decisoes/,Portugues,pensamento-critico-e-tomada-de-decisoes
Quais as estratégias existentes para a tomada de decisão?,7,Aprenda estratégias para desenvolver a tomada de decisão. Tem uma decisão importante para tomar? Veja o que levar em conta e como organizar seu raciocínio.,https://edu.gcfglobal.org//pt/pensamento-critico-e-tomada-de-decisoes/,Portugues,pensamento-critico-e-tomada-de-decisoes
Teste Final,8,Teste os conhecimentos adquiridos no curso de Pensamento Crítico.,https://edu.gcfglobal.org//pt/pensamento-critico-e-tomada-de-decisoes/,Portugues,pensamento-critico-e-tomada-de-decisoes
