nombre,numero,descripcion,url,idioma,topico
As seis áreas da vida: Saúde e Físico,1,Nesta série de artigos trataremos das seis áreas fundamentais da vida e como equilibrá-las.,https://edu.gcfglobal.org//pt/as-seis-areas-da-vida/,Portugues,as-seis-areas-da-vida
As seis áreas da vida: Afetiva,2,Nesta série de artigos trataremos das seis áreas fundamentais da vida e como equilibrá-las.,https://edu.gcfglobal.org//pt/as-seis-areas-da-vida/,Portugues,as-seis-areas-da-vida
As seis áreas da vida: Intelectual,3,Como anda seu intelecto? Sabia que você pode melhorá-lo?,https://edu.gcfglobal.org//pt/as-seis-areas-da-vida/,Portugues,as-seis-areas-da-vida
As seis áreas da vida: Trabalho e Profissional,4,"Entre as seis áreas da vida está a profissional, que deve ser olhada e cuidada sempre de perto, veja.",https://edu.gcfglobal.org//pt/as-seis-areas-da-vida/,Portugues,as-seis-areas-da-vida
As seis áreas da vida: Espiritual,5,"As seis áreas de vida, o nosso espírito.",https://edu.gcfglobal.org//pt/as-seis-areas-da-vida/,Portugues,as-seis-areas-da-vida
As seis áreas da vida: Financeira e Material,6,"A parte financeira e material da nossa vida é muito importante, como equilibrá-la?",https://edu.gcfglobal.org//pt/as-seis-areas-da-vida/,Portugues,as-seis-areas-da-vida
