nombre,numero,descripcion,url,idioma,topico
Você está pensando em viajar? Confira estes 'apps',1,"Se você estiver pensando em viajar, conheça alguns aplicativos que lhe ajudarão a se planejar melhor.",https://edu.gcfglobal.org//pt/dicas-para-viajar/,Portugues,dicas-para-viajar
Sites para encontrar hospedagens grátis,2,Conheça alguns sites que podem ajudá-lo a se hospedar em outras cidades e países sem gastar nada.,https://edu.gcfglobal.org//pt/dicas-para-viajar/,Portugues,dicas-para-viajar
Viajando sem gastar muito e com independência,3,Veja alguns outros conselhos para que você possa viajar sem gastar muito e com independência.,https://edu.gcfglobal.org//pt/dicas-para-viajar/,Portugues,dicas-para-viajar
Como viajar sem gastar muito,4,Que viajar sem gastar muito? Então siga estes conselhos para economizar um bom dinheiro na hora de conhecer outros lugares.,https://edu.gcfglobal.org//pt/dicas-para-viajar/,Portugues,dicas-para-viajar
